1 0.047
2 0.047
3 0.045
4 0.044
5 0.044
6 0.043
7 0.043
8 0.042
9 0.042
10 0.043
11 0.043
12 0.042
13 0.042
14 0.044
15 0.044
16 0.043
17 0.042
18 0.042
19 0.041
20 0.04
21 0.041
22 0.041
23 0.04
24 0.04
25 0.039
26 0.038
27 0.038
28 1.42
29 8.202
30 8.869
31 23.92606198
32 18.96265334
33 10.382
34 7.189
35 5.102
36 4.08
37 3.664
38 3.245
39 2.804
40 2.583
41 2.41
42 2.281
43 2.203
44 1.92
45 1.688
46 1.577
47 1.469
48 1.223
49 1.148
50 1.068
51 1.004
52 0.887
53 0.803
54 0.759
55 0.716
56 0.686
57 0.644
58 0.61
59 0.588
